id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am
76,west,east,west,1992-10-23,36,53,100,97,74
77,north,south,north,1992-10-24,35,68,92,92,85
78,south,north,south,1992-10-25,26,61,95,98,66
79,east,west,east,1992-10-26,38,61,89,94,85
80,west,east,west,1992-10-27,39,65,96,93,78
81,north,south,north,1992-10-28,22,64,98,94,81
82,south,north,south,1992-10-29,37,57,99,93,85
83,east,west,east,1992-10-30,29,53,80,94,76
84,west,east,west,1992-10-31,21,70,97,106,87
85,north,south,north,1992-11-01,20,60,74,83,68
86,south,north,south,1992-11-02,18,53,90,81,75
87,east,west,east,1992-11-03,31,54,88,81,79
88,west,east,west,1992-11-04,18,52,74,88,77
89,north,south,north,1992-11-05,21,54,74,90,56
90,south,north,south,1992-11-06,30,57,81,86,70
91,east,west,east,1992-11-07,21,57,88,93,62
92,west,east,west,1992-11-08,34,52,82,81,77
93,north,south,north,1992-11-09,26,56,86,94,77
94,south,north,south,1992-11-10,33,56,89,93,79
95,east,west,east,1992-11-11,33,58,89,81,79
96,west,east,west,1992-11-12,36,62,75,81,56
97,north,south,north,1992-11-13,22,51,83,95,77
98,south,north,south,1992-11-14,32,50,81,85,58
99,east,west,east,1992-11-15,24,58,86,99,80
100,west,east,west,1992-11-16,26,45,78,96,57
101,north,south,north,1992-11-17,19,63,74,84,80
102,south,north,south,1992-11-18,26,62,72,90,64
103,east,west,east,1992-11-19,19,45,74,81,70
104,west,east,west,1992-11-20,30,45,81,89,55
105,north,south,north,1992-11-21,25,58,85,81,80
106,south,north,south,1992-11-22,24,51,74,81,62
107,east,west,east,1992-11-23,31,49,89,95,72
108,west,east,west,1992-11-24,19,50,84,81,72
109,north,south,north,1992-11-25,34,46,88,91,65
110,south,north,south,1992-11-26,18,48,74,89,70
111,east,west,east,1992-11-27,24,60,73,96,55
112,west,east,west,1992-11-28,33,51,88,87,56
113,north,south,north,1992-11-29,30,57,82,81,69
114,south,north,south,1992-11-30,33,51,75,97,73
115,east,west,east,1992-12-01,10,32,45,45,32
116,west,east,west,1992-12-02,13,34,40,53,32
117,north,south,north,1992-12-03,19,29,49,55,34
118,south,north,south,1992-12-04,17,32,44,49,37
119,east,west,east,1992-12-05,12,31,46,54,36
120,west,east,west,1992-12-06,19,25,48,48,41
121,north,south,north,1992-12-07,18,34,45,52,30
122,south,north,south,1992-12-08,17,27,43,53,39
123,east,west,east,1992-12-09,14,34,40,53,41
124,west,east,west,1992-12-10,12,29,48,49,33
125,north,south,north,1992-12-11,16,34,46,52,35
126,south,north,south,1992-12-12,13,33,44,46,30
127,east,west,east,1992-12-13,10,28,46,50,44
128,west,east,west,1992-12-14,13,27,49,45,45
129,north,south,north,1992-12-15,13,27,45,54,38
130,south,north,south,1992-12-16,10,33,43,54,42
131,east,west,east,1992-12-17,11,28,44,48,36
132,west,east,west,1992-12-18,10,35,45,49,37
133,north,south,north,1992-12-19,11,34,43,55,37
134,south,north,south,1992-12-20,19,28,44,50,40
135,east,west,east,1992-12-21,11,31,48,47,31
136,west,east,west,1992-12-22,13,33,41,46,36
137,north,south,north,1992-12-23,17,34,42,53,30
138,south,north,south,1992-12-24,14,28,43,52,39
139,east,west,east,1992-12-25,19,28,40,54,43
140,west,east,west,1992-12-26,14,26,40,45,34
141,north,south,north,1992-12-27,17,26,41,49,40
142,south,north,south,1992-12-28,17,27,49,53,35
143,east,west,east,1992-12-29,19,34,40,49,42
144,west,east,west,1992-12-30,18,31,42,47,35
145,north,south,north,1992-12-31,15,31,40,55,32
146,south,north,south,1993-01-01,18,42,51,60,54
147,east,west,east,1993-01-02,16,42,56,63,42
148,west,east,west,1993-01-03,21,37,59,57,54
149,north,south,north,1993-01-04,26,41,53,60,43
150,south,north,south,1993-01-05,20,43,62,57,45
151,east,west,east,1993-01-06,22,41,53,57,56
152,west,east,west,1993-01-07,21,38,50,59,53
153,north,south,north,1993-01-08,24,36,51,58,49
154,south,north,south,1993-01-09,24,34,51,66,40
155,east,west,east,1993-01-10,21,31,61,58,41
156,west,east,west,1993-01-11,22,41,58,60,41
157,north,south,north,1993-01-12,14,35,61,65,52
158,south,north,south,1993-01-13,21,40,61,61,39
159,east,west,east,1993-01-14,26,40,52,63,43
160,west,east,west,1993-01-15,22,37,61,64,55
161,north,south,north,1993-01-16,23,38,51,66,39
162,south,north,south,1993-01-17,27,40,63,62,42
163,east,west,east,1993-01-18,19,34,61,63,42
164,west,east,west,1993-01-19,23,34,61,66,51
165,north,south,north,1993-01-20,22,41,52,62,41
166,south,north,south,1993-01-21,22,32,50,67,52
167,east,west,east,1993-01-22,15,35,60,57,39
168,west,east,west,1993-01-23,14,37,55,63,42
169,north,south,north,1993-01-24,14,37,51,58,37
170,south,north,south,1993-01-25,16,41,56,68,51
171,east,west,east,1993-01-26,20,38,62,64,55
172,west,east,west,1993-01-27,17,42,57,60,50
173,north,south,north,1993-01-28,17,43,59,62,55
174,south,north,south,1993-01-29,16,44,57,56,53
175,east,west,east,1993-01-30,14,39,56,55,46
176,west,east,west,1993-01-31,27,35,50,58,52
177,north,south,north,1993-02-01,26,49,69,76,57
178,south,north,south,1993-02-02,21,44,83,80,53
179,east,west,east,1993-02-03,26,44,70,91,65
180,west,east,west,1993-02-04,20,42,73,78,66
181,north,south,north,1993-02-05,22,44,77,87,51
182,south,north,south,1993-02-06,25,51,69,83,57
183,east,west,east,1993-02-07,21,48,71,81,52
184,west,east,west,1993-02-08,29,50,74,75,62
185,north,south,north,1993-02-09,28,57,68,75,57
186,south,north,south,1993-02-10,21,45,76,80,54
187,east,west,east,1993-02-11,21,51,73,76,75
188,west,east,west,1993-02-12,27,47,71,86,68
189,north,south,north,1993-02-13,29,56,68,89,65
190,south,north,south,1993-02-14,31,43,76,80,70
191,east,west,east,1993-02-15,19,43,73,75,51
192,west,east,west,1993-02-16,19,54,78,85,49
193,north,south,north,1993-02-17,26,45,66,76,60
194,south,north,south,1993-02-18,28,45,68,85,74
195,east,west,east,1993-02-19,26,53,65,84,59
196,west,east,west,1993-02-20,25,54,73,86,63
197,north,south,north,1993-02-21,22,42,80,78,71
198,south,north,south,1993-02-22,20,49,72,74,53
199,east,west,east,1993-02-23,17,55,69,88,67
200,west,east,west,1993-02-24,31,49,73,79,51
201,north,south,north,1993-02-25,20,55,78,79,49
202,south,north,south,1993-02-26,20,55,78,76,49
203,east,west,east,1993-02-27,21,58,81,75,58
204,west,east,west,1993-02-28,18,46,71,82,65
205,north,south,north,1993-03-01,36,56,84,104,92
206,south,north,south,1993-03-02,26,62,100,103,90
207,east,west,east,1993-03-03,37,64,88,106,86
208,west,east,west,1993-03-04,25,69,86,111,89
209,north,south,north,1993-03-05,33,63,83,106,78
210,south,north,south,1993-03-06,24,52,88,106,77
211,east,west,east,1993-03-07,29,64,99,93,84
212,west,east,west,1993-03-08,36,66,98,110,86
213,north,south,north,1993-03-09,38,65,96,107,62
214,south,north,south,1993-03-10,40,58,101,100,72
215,east,west,east,1993-03-11,30,70,101,97,85
216,west,east,west,1993-03-12,40,66,101,105,70
217,north,south,north,1993-03-13,27,61,82,110,88
218,south,north,south,1993-03-14,40,56,87,93,71
219,east,west,east,1993-03-15,36,60,88,104,84
220,west,east,west,1993-03-16,31,51,85,111,68
221,north,south,north,1993-03-17,25,73,82,101,81
222,south,north,south,1993-03-18,27,64,101,107,72
223,east,west,east,1993-03-19,23,56,96,94,89
224,west,east,west,1993-03-20,31,69,96,105,67
225,north,south,north,1993-03-21,26,72,96,95,75
226,south,north,south,1993-03-22,25,61,90,107,62
227,east,west,east,1993-03-23,42,52,91,93,68
228,west,east,west,1993-03-24,27,72,83,98,73
229,north,south,north,1993-03-25,23,54,86,106,65
230,south,north,south,1993-03-26,25,69,100,108,79
231,east,west,east,1993-03-27,24,53,99,99,66
232,west,east,west,1993-03-28,29,63,81,95,70
233,north,south,north,1993-03-29,41,70,84,107,86
234,south,north,south,1993-03-30,37,64,88,101,68
235,east,west,east,1993-03-31,38,65,91,109,80
236,west,east,west,1993-04-01,41,62,87,101,77
237,north,south,north,1993-04-02,27,68,99,92,92
238,south,north,south,1993-04-03,41,52,99,108,71
239,east,west,east,1993-04-04,37,57,98,113,74
240,west,east,west,1993-04-05,24,67,98,96,74
241,north,south,north,1993-04-06,37,67,90,92,73
242,south,north,south,1993-04-07,21,71,85,104,78
243,east,west,east,1993-04-08,27,56,93,110,88
244,west,east,west,1993-04-09,35,66,101,101,74
245,north,south,north,1993-04-10,42,64,100,94,75
246,south,north,south,1993-04-11,26,59,101,112,66
247,east,west,east,1993-04-12,34,67,98,109,66
248,west,east,west,1993-04-13,36,59,97,92,81
249,north,south,north,1993-04-14,34,62,85,107,62
250,south,north,south,1993-04-15,41,63,90,106,83
251,east,west,east,1993-04-16,27,60,102,100,69
252,west,east,west,1993-04-17,40,71,84,102,78
253,north,south,north,1993-04-18,25,62,84,112,81
254,south,north,south,1993-04-19,24,73,100,97,75
255,east,west,east,1993-04-20,22,56,96,92,72
256,west,east,west,1993-04-21,25,57,92,101,68
257,north,south,north,1993-04-22,28,65,83,103,92
258,south,north,south,1993-04-23,24,52,90,111,87
259,east,west,east,1993-04-24,25,64,91,101,82
260,west,east,west,1993-04-25,21,72,91,104,88
261,north,south,north,1993-04-26,31,60,87,97,73
262,south,north,south,1993-04-27,29,70,94,107,71
263,east,west,east,1993-04-28,28,64,89,110,83
264,west,east,west,1993-04-29,26,68,88,105,88
265,north,south,north,1993-04-30,43,70,87,95,66
266,south,north,south,1993-05-01,27,47,78,82,53
267,east,west,east,1993-05-02,25,47,73,75,49
268,west,east,west,1993-05-03,25,54,69,85,55
269,north,south,north,1993-05-04,23,43,78,79,65
270,south,north,south,1993-05-05,29,42,77,81,49
271,east,west,east,1993-05-06,25,55,76,87,53
272,west,east,west,1993-05-07,21,53,70,75,59
273,north,south,north,1993-05-08,28,48,72,88,73
274,south,north,south,1993-05-09,29,49,77,81,73
275,east,west,east,1993-05-10,23,56,82,74,55
276,west,east,west,1993-05-11,22,59,65,88,60
277,north,south,north,1993-05-12,30,45,74,86,53
278,south,north,south,1993-05-13,30,51,65,82,72
279,east,west,east,1993-05-14,17,56,78,83,51
280,west,east,west,1993-05-15,34,44,73,87,58
281,north,south,north,1993-05-16,24,49,80,75,73
282,south,north,south,1993-05-17,26,58,70,86,50
283,east,west,east,1993-05-18,17,44,78,84,59
284,west,east,west,1993-05-19,31,44,67,83,57
285,north,south,north,1993-05-20,20,44,74,82,69
286,south,north,south,1993-05-21,32,53,66,79,62
287,east,west,east,1993-05-22,20,59,83,85,75
288,west,east,west,1993-05-23,19,45,67,78,50
289,north,south,north,1993-05-24,29,55,74,89,64
290,south,north,south,1993-05-25,32,50,68,78,57
291,east,west,east,1993-05-26,21,47,76,73,64
292,west,east,west,1993-05-27,20,51,71,82,70
293,north,south,north,1993-05-28,31,57,83,84,62
294,south,north,south,1993-05-29,17,44,71,77,73
295,east,west,east,1993-05-30,23,44,70,77,63
296,west,east,west,1993-05-31,28,52,70,87,56
297,north,south,north,1993-06-01,27,41,70,68,51
298,south,north,south,1993-06-02,19,44,67,69,51
299,east,west,east,1993-06-03,17,36,59,70,49
300,west,east,west,1993-06-04,21,46,71,71,52
301,north,south,north,1993-06-05,20,44,70,78,47
302,south,north,south,1993-06-06,29,43,68,71,50
303,east,west,east,1993-06-07,17,49,67,69,63
304,west,east,west,1993-06-08,19,50,59,73,52
305,north,south,north,1993-06-09,17,42,64,66,51
306,south,north,south,1993-06-10,27,43,68,72,63
307,east,west,east,1993-06-11,18,42,67,71,45
308,west,east,west,1993-06-12,19,43,68,76,64
309,north,south,north,1993-06-13,18,48,64,67,46
310,south,north,south,1993-06-14,21,50,66,75,54
311,east,west,east,1993-06-15,17,42,72,70,60
312,west,east,west,1993-06-16,19,49,65,79,45
313,north,south,north,1993-06-17,30,41,60,79,61
314,south,north,south,1993-06-18,24,46,62,74,43
315,east,west,east,1993-06-19,21,39,67,66,58
316,west,east,west,1993-06-20,15,44,73,66,59
317,north,south,north,1993-06-21,17,42,60,66,52
318,south,north,south,1993-06-22,15,46,60,73,60
319,east,west,east,1993-06-23,29,41,59,79,55
320,west,east,west,1993-06-24,18,37,69,70,60
321,north,south,north,1993-06-25,23,40,60,70,53
322,south,north,south,1993-06-26,19,41,65,66,53
323,east,west,east,1993-06-27,15,48,66,68,58
324,west,east,west,1993-06-28,23,39,64,75,55
325,north,south,north,1993-06-29,25,40,60,67,59
326,south,north,south,1993-06-30,23,41,69,75,49
327,east,west,east,1993-07-01,14,31,44,52,37
328,west,east,west,1993-07-02,21,31,48,52,35
329,north,south,north,1993-07-03,20,28,48,56,39
330,south,north,south,1993-07-04,22,30,52,54,41
331,east,west,east,1993-07-05,16,33,49,53,34
332,west,east,west,1993-07-06,16,35,43,54,35
333,north,south,north,1993-07-07,15,28,50,53,40
334,south,north,south,1993-07-08,18,28,44,49,36
335,east,west,east,1993-07-09,15,26,51,52,36
336,west,east,west,1993-07-10,17,30,44,54,32
337,north,south,north,1993-07-11,19,32,48,53,47
338,south,north,south,1993-07-12,16,30,44,54,40
339,east,west,east,1993-07-13,13,34,45,54,34
340,west,east,west,1993-07-14,16,36,53,51,40
341,north,south,north,1993-07-15,22,36,48,55,34
342,south,north,south,1993-07-16,15,29,44,51,43
343,east,west,east,1993-07-17,20,26,48,52,41
344,west,east,west,1993-07-18,17,35,45,54,35
345,north,south,north,1993-07-19,16,32,43,54,41
346,south,north,south,1993-07-20,21,36,53,46,48
347,east,west,east,1993-07-21,21,35,48,56,32
348,west,east,west,1993-07-22,22,33,51,46,43
349,north,south,north,1993-07-23,14,28,47,48,32
350,south,north,south,1993-07-24,16,34,46,56,48
351,east,west,east,1993-07-25,13,28,48,51,34
352,west,east,west,1993-07-26,13,29,43,49,41
353,north,south,north,1993-07-27,17,31,49,53,39
354,south,north,south,1993-07-28,18,32,44,51,39
355,east,west,east,1993-07-29,17,33,49,55,39
356,west,east,west,1993-07-30,12,27,51,56,43
357,north,south,north,1993-07-31,21,36,49,50,37
358,south,north,south,1993-08-01,16,32,52,61,39
359,east,west,east,1993-08-02,21,40,57,56,43
360,west,east,west,1993-08-03,15,39,58,65,42
361,north,south,north,1993-08-04,22,44,61,57,50
362,south,north,south,1993-08-05,24,43,52,61,39
363,east,west,east,1993-08-06,23,39,61,57,49
364,west,east,west,1993-08-07,15,41,54,58,47
365,north,south,north,1993-08-08,19,34,49,64,44
366,south,north,south,1993-08-09,23,45,54,65,39
367,east,west,east,1993-08-10,20,36,54,64,49
368,west,east,west,1993-08-11,24,38,62,56,43
369,north,south,north,1993-08-12,17,39,58,57,46
370,south,north,south,1993-08-13,17,35,55,61,53
371,east,west,east,1993-08-14,15,39,49,66,44
372,west,east,west,1993-08-15,15,44,58,62,38
373,north,south,north,1993-08-16,16,38,53,60,52
374,south,north,south,1993-08-17,23,40,61,63,40
375,east,west,east,1993-08-18,19,45,63,60,55
376,west,east,west,1993-08-19,18,40,53,55,42
377,north,south,north,1993-08-20,19,31,55,65,50
378,south,north,south,1993-08-21,23,42,54,60,51
379,east,west,east,1993-08-22,19,37,50,61,51
380,west,east,west,1993-08-23,19,34,62,63,53
381,north,south,north,1993-08-24,18,36,55,56,53
382,south,north,south,1993-08-25,25,37,59,65,50
383,east,west,east,1993-08-26,14,33,60,66,42
384,west,east,west,1993-08-27,21,38,53,56,46
385,north,south,north,1993-08-28,22,43,56,58,53
386,south,north,south,1993-08-29,24,32,56,64,53
387,east,west,east,1993-08-30,25,34,61,63,41
388,west,east,west,1993-08-31,21,39,57,60,43
389,north,south,north,1993-09-01,18,48,70,81,61
390,south,north,south,1993-09-02,32,51,66,78,63
391,east,west,east,1993-09-03,18,59,81,76,72
392,west,east,west,1993-09-04,34,43,66,89,61
393,north,south,north,1993-09-05,30,57,69,77,56
394,south,north,south,1993-09-06,32,50,67,84,66
395,east,west,east,1993-09-07,17,45,73,75,50
396,west,east,west,1993-09-08,34,56,65,79,70
397,north,south,north,1993-09-09,19,50,72,89,51
398,south,north,south,1993-09-10,29,50,70,85,59
399,east,west,east,1993-09-11,29,46,74,78,65
400,west,east,west,1993-09-12,33,54,76,74,49
401,north,south,north,1993-09-13,19,52,78,78,51
402,south,north,south,1993-09-14,24,53,69,84,63
403,east,west,east,1993-09-15,22,50,75,82,55
404,west,east,west,1993-09-16,29,52,69,83,52
405,north,south,north,1993-09-17,31,49,68,87,59
406,south,north,south,1993-09-18,28,42,79,82,52
407,east,west,east,1993-09-19,25,55,70,76,71
408,west,east,west,1993-09-20,25,53,80,77,59
409,north,south,north,1993-09-21,20,52,78,82,55
410,south,north,south,1993-09-22,19,45,75,84,68
411,east,west,east,1993-09-23,23,57,75,85,56
412,west,east,west,1993-09-24,19,48,69,75,66
413,north,south,north,1993-09-25,25,42,69,85,56
414,south,north,south,1993-09-26,30,52,73,85,63
415,east,west,east,1993-09-27,20,42,70,84,75
416,west,east,west,1993-09-28,29,50,75,81,62
417,north,south,north,1993-09-29,28,57,79,86,53
418,south,north,south,1993-09-30,27,51,77,75,51
419,east,west,east,1993-10-01,28,60,83,109,79
420,west,east,west,1993-10-02,35,69,82,98,75
421,north,south,north,1993-10-03,31,69,99,108,88
422,south,north,south,1993-10-04,26,53,87,113,88
423,east,west,east,1993-10-05,31,66,83,108,76
424,west,east,west,1993-10-06,31,59,102,109,82
425,north,south,north,1993-10-07,24,53,95,112,82
426,south,north,south,1993-10-08,31,60,99,99,84
427,east,west,east,1993-10-09,25,55,90,106,79
428,west,east,west,1993-10-10,29,65,102,94,85
429,north,south,north,1993-10-11,26,71,93,95,84
430,south,north,south,1993-10-12,22,63,94,106,80
431,east,west,east,1993-10-13,33,61,94,113,89
432,west,east,west,1993-10-14,37,59,87,102,91
433,north,south,north,1993-10-15,22,55,91,94,84
434,south,north,south,1993-10-16,32,72,83,105,75
435,east,west,east,1993-10-17,31,71,93,98,87
436,west,east,west,1993-10-18,27,66,90,102,84
437,north,south,north,1993-10-19,29,59,86,95,86
438,south,north,south,1993-10-20,24,61,87,106,68
439,east,west,east,1993-10-21,33,54,98,98,80
440,west,east,west,1993-10-22,35,58,95,100,87
441,north,south,north,1993-10-23,27,63,88,113,86
442,south,north,south,1993-10-24,28,65,86,102,85
443,east,west,east,1993-10-25,38,62,89,94,69
444,west,east,west,1993-10-26,39,52,101,95,91
445,north,south,north,1993-10-27,35,57,84,92,91
446,south,north,south,1993-10-28,42,70,86,101,75
447,east,west,east,1993-10-29,43,53,88,107,76
448,west,east,west,1993-10-30,38,63,84,108,76
449,north,south,north,1993-10-31,32,53,101,100,71
450,south,north,south,1993-11-01,27,65,74,86,65
451,east,west,east,1993-11-02,34,49,82,89,72
452,west,east,west,1993-11-03,30,66,92,85,70
453,north,south,north,1993-11-04,25,64,73,95,74
454,south,north,south,1993-11-05,22,48,76,98,67
455,east,west,east,1993-11-06,30,63,87,94,61
456,west,east,west,1993-11-07,25,58,76,97,65
457,north,south,north,1993-11-08,29,64,83,98,71
458,south,north,south,1993-11-09,29,60,82,98,62
459,east,west,east,1993-11-10,22,57,88,82,57
460,west,east,west,1993-11-11,36,65,87,89,57
461,north,south,north,1993-11-12,21,47,76,90,60
462,south,north,south,1993-11-13,38,61,91,83,75
463,east,west,east,1993-11-14,27,61,90,99,79
464,west,east,west,1993-11-15,32,58,88,91,55
465,north,south,north,1993-11-16,32,63,81,87,75
466,south,north,south,1993-11-17,29,64,83,84,80
467,east,west,east,1993-11-18,34,49,81,93,84
468,west,east,west,1993-11-19,29,56,86,99,79
469,north,south,north,1993-11-20,31,57,79,83,68
470,south,north,south,1993-11-21,37,60,84,88,74
471,east,west,east,1993-11-22,24,64,84,82,58
472,west,east,west,1993-11-23,19,65,81,89,64
473,north,south,north,1993-11-24,33,57,76,90,73
474,south,north,south,1993-11-25,33,59,81,100,68
475,east,west,east,1993-11-26,31,60,79,95,56
476,west,east,west,1993-11-27,27,61,80,89,56
477,north,south,north,1993-11-28,29,59,73,93,68
478,south,north,south,1993-11-29,27,46,84,90,59
479,east,west,east,1993-11-30,28,56,76,83,72
480,west,east,west,1993-12-01,21,29,48,55,39
481,north,south,north,1993-12-02,15,31,48,48,34
482,south,north,south,1993-12-03,20,34,41,49,40
483,east,west,east,1993-12-04,19,29,48,52,39
484,west,east,west,1993-12-05,14,34,41,52,41
485,north,south,north,1993-12-06,15,30,49,51,44
486,south,north,south,1993-12-07,18,28,44,56,47
487,east,west,east,1993-12-08,16,36,48,54,38
488,west,east,west,1993-12-09,17,36,47,57,45
489,north,south,north,1993-12-10,20,27,45,55,43
490,south,north,south,1993-12-11,13,36,47,53,43
491,east,west,east,1993-12-12,16,36,42,52,36
492,west,east,west,1993-12-13,19,34,47,53,43
493,north,south,north,1993-12-14,17,31,49,47,45
494,south,north,south,1993-12-15,16,36,53,53,44
495,east,west,east,1993-12-16,14,30,43,54,35
496,west,east,west,1993-12-17,22,38,46,46,36
497,north,south,north,1993-12-18,17,30,45,57,36
498,south,north,south,1993-12-19,16,34,51,46,44
499,east,west,east,1993-12-20,20,27,51,54,38
500,west,east,west,1993-12-21,12,36,52,56,38
501,north,south,north,1993-12-22,21,31,42,49,37
502,south,north,south,1993-12-23,16,32,44,52,43
503,east,west,east,1993-12-24,20,34,42,54,43
504,west,east,west,1993-12-25,15,35,46,49,33
505,north,south,north,1993-12-26,14,31,45,55,44
506,south,north,south,1993-12-27,16,28,52,48,39
507,east,west,east,1993-12-28,17,31,43,49,36
508,west,east,west,1993-12-29,14,31,48,50,33
509,north,south,north,1993-12-30,20,35,46,54,35
510,south,north,south,1993-12-31,13,37,41,47,39
511,east,west,east,1994-01-01,21,38,58,67,47
512,west,east,west,1994-01-02,19,33,59,61,47
513,north,south,north,1994-01-03,30,44,62,68,52
514,south,north,south,1994-01-04,21,38,63,66,54
515,east,west,east,1994-01-05,26,40,56,65,55
516,west,east,west,1994-01-06,19,34,55,68,48
517,north,south,north,1994-01-07,19,43,55,60,42
518,south,north,south,1994-01-08,24,45,65,64,58
519,east,west,east,1994-01-09,15,37,57,62,54
520,west,east,west,1994-01-10,14,39,62,67,51
521,north,south,north,1994-01-11,16,38,64,62,46
522,south,north,south,1994-01-12,21,32,60,60,43
523,east,west,east,1994-01-13,19,41,61,67,45
524,west,east,west,1994-01-14,22,37,57,63,55
525,north,south,north,1994-01-15,21,41,61,61,51
526,south,north,south,1994-01-16,24,43,54,70,55
527,east,west,east,1994-01-17,26,32,59,67,38
528,west,east,west,1994-01-18,17,39,52,59,40
529,north,south,north,1994-01-19,16,36,53,64,45
530,south,north,south,1994-01-20,24,44,61,66,41
531,east,west,east,1994-01-21,20,35,61,67,47
532,west,east,west,1994-01-22,30,36,53,63,38
533,north,south,north,1994-01-23,24,39,56,64,39
534,south,north,south,1994-01-24,18,44,54,69,49
535,east,west,east,1994-01-25,18,38,63,61,49
536,west,east,west,1994-01-26,24,44,62,65,56
537,north,south,north,1994-01-27,22,43,60,60,54
538,south,north,south,1994-01-28,21,44,63,68,42
539,east,west,east,1994-01-29,25,38,52,63,52
540,west,east,west,1994-01-30,23,34,57,56,47
541,north,south,north,1994-01-31,21,33,53,68,39
542,south,north,south,1994-02-01,27,60,70,81,63
543,east,west,east,1994-02-02,28,59,73,85,64
544,west,east,west,1994-02-03,21,52,81,79,69
545,north,south,north,1994-02-04,25,43,76,94,68
546,south,north,south,1994-02-05,30,46,71,82,56
547,east,west,east,1994-02-06,32,51,80,80,70
548,west,east,west,1994-02-07,23,54,81,92,72
549,north,south,north,1994-02-08,22,53,80,84,59
550,south,north,south,1994-02-09,23,58,70,87,51
551,east,west,east,1994-02-10,30,44,76,82,72
552,west,east,west,1994-02-11,30,56,68,80,72
553,north,south,north,1994-02-12,22,48,74,89,66
554,south,north,south,1994-02-13,22,50,77,76,68
555,east,west,east,1994-02-14,23,61,74,83,61
